"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.720109363E2,6.500769833E1,2.546309667E1,1.343481854E1,1.466443658E0,2.610000000E2,1.600000024E0,1.700000000E1
1.730109363E2,6.500769667E1,2.546307667E1,1.343481785E1,1.465928912E0,2.610000000E2,1.600000024E0,1.660000038E1
1.740109363E2,6.500769500E1,2.546305000E1,1.353481672E1,1.468502522E0,2.610000000E2,1.600000024E0,1.639999962E1
1.750109363E2,6.500769833E1,2.546302167E1,1.353481355E1,1.451516628E0,2.698699951E2,1.700000048E0,1.610000038E1
1.760109363E2,6.500770333E1,2.546299000E1,1.343480951E1,1.427839398E0,2.918900146E2,1.700000048E0,1.650000000E1
1.770109363E2,6.500771000E1,2.546295833E1,1.353480484E1,1.443281054E0,2.958900146E2,1.700000048E0,1.689999962E1
1.780109363E2,6.500771500E1,2.546292667E1,1.353480080E1,1.474679112E0,2.863500061E2,1.700000048E0,1.469999981E1
1.790109363E2,6.500771833E1,2.546289833E1,1.343479763E1,1.510195017E0,2.911700134E2,1.600000024E0,1.510000038E1
1.800109363E2,6.500772333E1,2.546287167E1,1.343479393E1,1.483944178E0,2.880599976E2,1.700000048E0,1.589999962E1
1.810109363E2,6.500772667E1,2.546284667E1,1.353479098E1,1.439678073E0,2.843299866E2,1.600000024E0,1.530000019E1
1.820109363E2,6.500773333E1,2.546282000E1,1.353478663E1,1.455119729E0,2.944400024E2,1.700000048E0,1.569999981E1
1.830109363E2,6.500774000E1,2.546279500E1,1.343478239E1,1.432471991E0,2.921400146E2,1.700000048E0,1.560000038E1
1.840109363E2,6.500774167E1,2.546277167E1,1.333478020E1,1.421148062E0,2.777799988E2,1.700000048E0,1.569999981E1
1.850109363E2,6.500774000E1,2.546274667E1,1.313477917E1,1.407250524E0,2.618900146E2,1.700000048E0,1.589999962E1
1.860109363E2,6.500773333E1,2.546272167E1,1.303478008E1,1.421148062E0,2.277899933E2,1.700000048E0,1.550000000E1
1.870109363E2,6.500772500E1,2.546270000E1,1.273478185E1,1.388720512E0,2.216600037E2,1.700000048E0,1.600000000E1
1.880109363E2,6.500771500E1,2.546268500E1,1.253478471E1,1.354234219E0,2.213099976E2,1.700000048E0,1.610000038E1
1.890109363E2,6.500770833E1,2.546267167E1,1.223478640E1,1.322321415E0,2.332400055E2,1.700000048E0,1.600000000E1
1.900109363E2,6.500770167E1,2.546265333E1,1.193478775E1,1.345483899E0,2.425399933E2,1.700000048E0,1.589999962E1
1.910109363E2,6.500769167E1,2.546263167E1,1.153479016E1,1.384602785E0,2.345200043E2,1.700000048E0,1.560000038E1
1.920109363E2,6.500768500E1,2.546260833E1,1.133479118E1,1.320262551E0,2.553699951E2,1.799999952E0,1.629999924E1
1.930109363E2,6.500768167E1,2.546258500E1,1.113479092E1,1.281658292E0,2.656900024E2,1.799999952E0,1.679999924E1
